filename,Length,Country,Latitude,Longitude,Host,Collection date,include
KU940228,10676,Brazil,-14.235004,-51.92528,Homo sapiens,01/07/15,
KU729217,10645,Brazil,-14.235004,-51.92528,Homo sapiens,2015,
KU729218,10729,Brazil,-14.235004,-51.92528,Homo sapiens,2015,
KU497555,10793,Brazil,-14.235004,-51.92528,Homo sapiens,30/11/15,
KU991811,10643,Italy,41.87194,12.56738,Homo sapiens,06/03/16,
KU853012,10636,Italy,41.87194,12.56738,Homo sapiens,01/02/16,
KU853013,10636,Italy,41.87194,12.56738,Homo sapiens,01/02/16,
KU870645,10798,USA,37.09024,-95.712891,Homo sapiens,02/02/16,
KU820897,10807,Colombia,4.570868,-74.297333,Homo sapiens,2015/12,
JN860885,10269,Cambodia,12.565679,104.990963,Homo sapiens,2010,
KU740184,10574,China,35.86166,104.195397,Homo sapiens,2016/02,
KU761564,10401,China,35.86166,104.195397,Homo sapiens,12/02/16,
KU820898,10272,China,35.86166,104.195397,Homo sapiens,14/02/16,
KX051563,10807,USA,37.09024,-95.712891,Homo sapiens,05/02/16,
KU922923,10617,Mexico,23.634501,-102.552784,Homo sapiens,25/02/16,
KU922960,10617,Mexico,23.634501,-102.552784,Homo sapiens,25/02/16,
KX247632,10777,Mexico,23.634501,-102.552784,Homo sapiens,2015,
KU707826,10648,Brazil,-14.235004,-51.92528,Homo sapiens,01/07/15,
KU963796,10709,China,35.86166,104.195397,Homo sapiens,2016,
KU744693,10676,China,35.86166,104.195397,Homo sapiens,06/02/16,
KU312312,10374,Suriname,3.919305,-56.027783,Homo sapiens,02/10/15,
KU955589,10574,China,35.86166,104.195397,Homo sapiens,16/02/16,
KU955590,10569,China,35.86166,104.195397,Homo sapiens,26/02/16,
KX197192,10807,Brazil,-14.235004,-51.92528,Homo sapiens,2015,
KU937936,10542,Suriname,3.919305,-56.027783,Homo sapiens,11/02/16,
KU820899,10805,China,35.86166,104.195397,Homo sapiens,17/02/16,
KX117076,10805,China,35.86166,104.195397,Homo sapiens,17/02/16,
KX185891,10272,China,35.86166,104.195397,Homo sapiens,17/02/16,
KX056898,10272,China,35.86166,104.195397,Homo sapiens,25/02/16,
KU955593,10807,Cambodia,12.565679,104.990963,Homo sapiens,2010,
KU681082,10807,Philippines,12.879721,121.774017,Homo sapiens,09/05/12,
KU681081,10807,Thailand,15.870032,100.992541,Homo sapiens,19/07/14,
KX247646,10808,Colombia,4.570868,-74.297333,Homo sapiens,09/02/16,
KU866423,10272,China,35.86166,104.195397,Homo sapiens,2016,
EU545988,10272,Micronesia,6.8874813,158.2150717,Homo sapiens,01/06/07,
KU501216,10272,Guatemala,15.783471,-90.230759,Homo sapiens,01/12/15,
KU501217,10272,Guatemala,15.783471,-90.230759,Homo sapiens,01/11/15,
KU365780,10662,Brazil,-14.235004,-51.92528,Homo sapiens,2015,
KU365777,10662,Brazil,-14.235004,-51.92528,Homo sapiens,2015,
KU365778,10727,Brazil,-14.235004,-51.92528,Homo sapiens,2015,
KU365779,10662,Brazil,-14.235004,-51.92528,Homo sapiens,2015,
KJ776791,10617,French Polynesia,-17.679742,-149.406843,Homo sapiens,28/11/13,
KU509998,10807,Haiti,18.971187,-72.285215,Homo sapiens,12/12/14,
KU647676,10617,Martinique,14.641528,-61.024174,Homo sapiens,2015/12,
KU527068,10808,Brazil,-14.235004,-51.92528,Homo sapiens,2015,
KU501215,10675,Puerto Rico,18.220833,-66.590149,Homo sapiens,01/12/15,
KX087102,10661,Colombia,4.570868,-74.297333,Homo sapiens,2015/12,
KX198135,10709,Panama,8.537981,-80.782127,Homo sapiens,2016,
KX156775,10630,Panama,8.537981,-80.782127,Homo sapiens,11/12/15,
KX156774,10672,Panama,8.537981,-80.782127,Homo sapiens,18/12/15,
KX156776,10631,Panama,8.537981,-80.782127,Homo sapiens,18/12/15,
KX087101,10771,Puerto Rico,18.220833,-66.590149,Homo sapiens,2015/12,
KU321639,10676,Brazil,-14.235004,-51.92528,Homo sapiens,2015/03,
